Key	CrayonColor
-1	
0	TRANSPARENT
1	ALMOND
2	ANTIQUE BRASS
3	APRICOT
4	AQUAMARINE
5	ASPARAGUS
6	ATOMIC TANGERINE
7	BANANA MANIA
8	BEAVER
9	BITTERSWEET
10	BLACK
11	BLUE
12	BLUE BELL
13	BLUE GREEN
14	BLUE VIOLET
15	BLUSH
16	BRICK RED
17	BROWN
18	BURNT ORANGE
19	BURNT SIENNA
20	CADET BLUE
21	CANARY
22	CARIBBEAN GREEN
23	CARNATION PINK
24	CERISE
25	CERULEAN
26	CHESTNUT
27	COPPER
28	CORNFLOWER
29	COTTON CANDY
30	DANDELION
31	DENIM
32	DESERT SAND
33	EGGPLANT
34	ELECTRIC LIME
35	FERN
36	FOREST GREEN
37	FUCHSIA
38	FUZZY WUZZY BROWN
39	GOLD
40	GOLDENROD
41	GRANNY SMITH APPLE
42	GRAY
43	GREEN
44	GREEN YELLOW
45	HOT MAGENTA
46	INCH WORM
47	INDIGO
48	JAZZBERRY JAM
49	JUNGLE GREEN
50	LASER LEMON
51	LAVENDER
52	MACARONI AND CHEESE
53	MAGENTA
54	MAHOGANY
55	MANATEE
56	MANGO TANGO
57	MAROON
58	MAUVELOUS
59	MELON
60	MIDNIGHT BLUE
61	MOUNTAIN MEADOW
62	NAVY BLUE
63	NEON CARROT
64	OLIVE GREEN
65	ORANGE
66	ORCHID
67	OUTER SPACE
68	OUTRAGEOUS ORANGE
69	PACIFIC BLUE
70	PEACH
71	PERIWINKLE
72	PIGGY PINK
73	PINE GREEN
74	PINK FLAMINGO
75	PINK SHERBET
76	PLUM
77	PURPLE HEART
78	PURPLE MOUNTAINS’ MAJESTY
79	PURPLE PIZZAZZ
80	RADICAL RED
81	RAW SIENNA
82	RAZZLE DAZZLE ROSE
83	RAZZMATAZZ
84	RED
85	RED ORANGE
86	RED VIOLET
87	ROBIN EGG BLUE
88	ROYAL PURPLE
89	SALMON
90	SCARLET
91	SCREAMIN GREEN
92	SEA GREEN
93	SEPIA
94	SHADOW
95	SHAMROCK
96	SHOCKING PINK
97	SILVER
98	SKY BLUE
99	SPRING GREEN
100	SUNGLOW
101	SUNSET ORANGE
102	TAN
103	TICKLE ME PINK
104	TIMBERWOLF
105	TROPICAL RAIN FOREST
106	TUMBLEWEED
107	TURQUOISE BLUE
108	UNMELLOW YELLOW
109	VIOLET (PURPLE)
110	VIOLET RED
111	VIVID TANGERINE
112	VIVID VIOLET
113	WHITE
114	WILD BLUE YONDER
115	WILD STRAWBERRY
116	WILD WATERMELON
117	WISTERIA
118	YELLOW
119	YELLOW GREEN
120	YELLOW ORANGE
